Status,Sign,Reference,,,,,,,
,Sharpener,https://www.youtube.com/watch?v=a113-k5VTws,,,,,,,
,Ruler,https://www.youtube.com/watch?v=SJBv-HNSmok,,,,,,,
,Projector,https://www.youtube.com/watch?v=HoruRYTnjRI,,,,,,,
,Pencil,https://www.youtube.com/watch?v=IQEUEnX5XpA,,,,,,,
,Pen,https://www.youtube.com/watch?v=XsyyhewNopA,,,,,,,
,Mobile,https://www.youtube.com/watch?v=aBE4c_DVzwc,,,,,,,
,Laptop,https://www.youtube.com/watch?v=V7JoTxP7J1E,,,,,,,
,Fan,https://www.youtube.com/watch?v=DTyOpqUr628,,,,,,,
,Eraser,https://www.youtube.com/watch?v=Fd4Z8sQ2Rrk,,,,,,,
,Door,https://www.youtube.com/watch?v=v65n8thxcB4,,,,,,,
,Cupboard,https://www.youtube.com/watch?v=h2HRrmM2clg,,,,,,,
,Chair,https://www.youtube.com/watch?v=1iqiPtitUhM,,,,,,,
,Car,https://www.youtube.com/watch?v=G-_8AioZwgo,,,,,,,
,Cap,https://www.youtube.com/watch?v=yayEkuVGxJw,,,,,,,
,Why,https://www.youtube.com/watch?v=KGGDwVoBOR0,,,,,,,
,Who,https://www.youtube.com/watch?v=5CvRPwClfo8,,,,,,,
,Which,https://www.youtube.com/watch?v=HdrjLQ4M52k,,,,,,,
,Where,https://www.youtube.com/watch?v=QGdSvVQYVak,,,,,,,
,When,https://www.youtube.com/watch?v=r3TvD_yzzDo,,,,,,,
,What,https://www.youtube.com/watch?v=7qlVZCY0uzE,,,,,,,
,How Many,https://www.youtube.com/watch?v=kr-CtmMg8aU,,,,,,,
,Colors,https://www.youtube.com/watch?v=3QI2eQNBuhc,,,,,,,
,Black,https://www.youtube.com/watch?v=cmRdWLR4y4M,,,,,,,
,Blue,https://www.youtube.com/watch?v=OJ23PDI-2Zo,,,,,,,
,Bronze,https://www.youtube.com/watch?v=u0OgWijU2aA,,,,,,,
,Brown,https://www.youtube.com/watch?v=_uE86Ee9EB8,,,,,,,
,Dark Green,https://www.youtube.com/watch?v=0KtIPIV7SUc,,,,,,,
,Dark Pink,https://www.youtube.com/watch?v=1_7LjoUtvZw,,,,,,,
,Golden,https://www.youtube.com/watch?v=Fvusu3Au-_U,,,,,,,
,Green,https://www.youtube.com/watch?v=fR09a5lUoNg,,,,,,,
,Grey,https://www.youtube.com/watch?v=QKqI434baq8,,,,,,,
,Indigo,https://www.youtube.com/watch?v=lUvVvwDdcd4,,,,,,,
,Light Green,https://www.youtube.com/watch?v=Dt4k5I5JUhE,,,,,,,
,Light Pink,https://www.youtube.com/watch?v=47Rs24S_00k,,,,,,,
,Orange,https://www.youtube.com/watch?v=8l0UzqvD8Y8,,,,,,,
,Pink,https://www.youtube.com/watch?v=hKcCTiG9Ytg,,,,,,,
,Purple,https://www.youtube.com/watch?v=7MEWu2T6KLE,,,,,,,
,Silver,https://www.youtube.com/watch?v=O32KKrOKOoU,,,,,,,
,Sky Blue,https://www.youtube.com/watch?v=qySblf8eYbI,,,,,,,
,White,https://www.youtube.com/watch?v=orBf8NrcSAI,,,,,,,
,Yellow,https://www.youtube.com/watch?v=R65JBHETfZU,,,,,,,
,Red,https://www.youtube.com/watch?v=yXnnjEpYH3s,,,,,,,
,Calculator,https://www.youtube.com/watch?v=U02pgwugOu8,,,,,,,
,Cardboard,https://www.youtube.com/watch?v=YeEZvIBt_Vs,,,,,,,
,Compass,https://www.youtube.com/watch?v=5-PGJJFLFwU,,,,,,,
,Correction pen,https://www.youtube.com/watch?v=wHHi8mvxc5M,,,,,,,
,Crayons,https://www.youtube.com/watch?v=kNtsbX-28AQ,,,,,,,
,Cutter,https://www.youtube.com/watch?v=wWAzUTHK7xo,,,,,,,
,Diary,https://www.youtube.com/watch?v=PGPt5yUkkN8,,,,,,,
,Divider,https://www.youtube.com/watch?v=4rO7L3tvWvU,,,,,,,
,Duster,https://www.youtube.com/watch?v=hsl727XQR4E,,,,,,,
,Envelope,https://www.youtube.com/watch?v=Sid1g2X0Fz4,,,,,,,
,File,https://www.youtube.com/watch?v=dYqeSVkm74U,,,,,,,
,Folder,https://www.youtube.com/watch?v=A5uPXX98Y_s,,,,,,,
,Glue,https://www.youtube.com/watch?v=Esua2GiUiJ8,,,,,,,
,Highlighter,https://www.youtube.com/watch?v=-x8YdDrEGrY,,,,,,,
,Keychain,https://www.youtube.com/watch?v=41mEO-bUrZo,,,,,,,
,Marker,https://www.youtube.com/watch?v=5DPCwERT3TE,,,,,,,
,Notepad,https://www.youtube.com/watch?v=fYvaGbCDuwc,,,,,,,
